ProblemUID,ProblemTitle,Description,distribution,parameter(s),hint,comment
1,B-negative Blood Type P3,X = How many people have a B negative blood type in a sample of just one randomly selected person.,Bernoulli,p = probability that a random person has B- blood (about 2%),variable can only be zero or one,"p = probability that a random person has B- blood (about 2%), and alternate answer is Binomial with n=1"
2,Horse Race P1,Three horses are randomly picked from the 12 competing in a race and you place a bet on each of these three horses to win the race.  X=the number of winning tickets purchased.,Bernoulli,p = 25% (3/12),only one winner possible,p = 25% (3/12)
3,Internet purchases P1,X = In a sample of just one person;  how many favor imposing a uniform sales tax on internet purchases.,Bernoulli,p = proportion in population that favor the proposal,value can be 1 or 0,"p = proportion in population that favor the proposal, and value can be only 1 or 0"
4,Governor,Let X=1 if the next governor of Pennsylvania is female and X=0 otherwise,Bernoulli,,only two values of X,"p = proportion of next governor of Pennsylvania is female, and X could only be 0 or 1"
5,Monotone,Let g(x) = g(x^2) for all monotone increasing for all monotone increasing functions g,Bernoulli,,attention of the value of g(x) function,"To satisfy the g(x) function, X could only be 0 or 1"
6,Cheacking account,"Let X = max{Yi for i=1,...,7} when Yi = 1 if the ith customer of the week at a bank has a checking account and =0 otherwise.",Bernoulli,,only two answer for X,"there is only 2 possibilities for X, 0 and other"
7,Accident time,Let X= the time (proportion of the way into the year) of 5th individual fatal car accident in Los Angeles in a Year that  has 12 fatal accidents total.,Beta,,5th of 12,it requires 5th largest out of 12 uniforms
8,Yard P2,A  yardstick is broken randomly into seven pieces. Let X= the position(in yards) of the fifth break from the left end,Beta,,5th of 7,It requires the position of the 5th piece
9,Heart attack,"Knowing that there were 5 patients that came to the emergency room with a heart attack this week, let X = the time(proportion of the way into the week) of the 3rd individual with a heart attack",Beta,,third out of 5,the 3rd largest out of 5 uniforms
10,Digit clock,Seven people record how long (in fractions of a minute) it takes for their digital clocks to move to the next minute after they wake up in the morning. Let X= the median of these seven values,Beta,,4th of 7,"alpha=4, beta=4, 4th largest out of 7 uniforms"
11,Correct Change P1,X = how many of the next 20 customers at a hot dog stand have the correct change to pay for their purchases.,Binomial,n = 20; p = probability that a random customer has the correct change,customers are essentially independent,n = 20; p = probability that a random customer has the correct change. Also approximately normal if p is not too small or too large
12,Highway Car Colors P1,X = how many of the next 20 cars that pass you on the highway are silver colored,Binomial,n=20; p= population proportion of passing cars that are silver,car colors are independent,n = 20; p = probability that a random cars that pass you on the highway are silver colored
13,Petrol Pump Purchases P2,X = how many of the next 10 customers at a service station buy their gas with a credit card,Binomial,n = 10; p = proportion of all customers using a credit card,dichotomous population of independent customers,n = 10; p = probability of customers at a service station buy their gas with a credit card
